canonical_smiles,activity_bin,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=S(=O)(c1cccc(F)c1)N1CCC(CCc2ccc(F)cc2F)CC1,0,13.685105157473414,-3.694886159423722,13.685105157473414,0.03765439095952261,0.7783359623598713,383.43500000000006,363.27500000000003,383.11668454,140,0,0.24267088413969387,-0.2069650134331508,0.24267088413969387,0.2069650134331508,0.9615384615384616,1.6538461538461537,2.3076923076923075,32.2334270769905,9.91096917315702,2.290941202372228,-2.308953174456703,2.2701749814972296,-2.381130685425031,7.887343443838482,0.2629162445364686,1.5693230284313968,878.1030133020176,18.7338400397525,14.167294726555523,14.98379130748325,12.35821047658592,8.557133244691205,9.997196573491845,6.579242400746675,8.517177380688342,4.84439366421956,6.73903053081597,3.298887000081745,4.800615678379731,-1.86,670302.6179182351,18.91702372429312,7.797532800113512,4.269484198990998,151.0544767442052,0.0,17.451662523137685,0.0,10.023291153407584,0.0,0.0,0.0,21.589042127353395,4.305215991296234,0.0,12.13273413692322,61.43011230340886,19.15587988028676,4.895483475517775,21.589042127353395,10.023291153407584,0.0,4.305215991296234,5.917906046161393,30.578769967221813,13.08951281182515,65.47968349406595,0.0,0.0,0.0,13.171245143024459,0.0,0.0,25.812525787450323,16.444112776333593,23.369568569299076,24.825916360475023,47.360052954749044,0.0,0.0,0.0,37.38,27.47495367654527,21.589042127353395,0.0,10.813389521679168,37.91542917230017,18.55355575984923,34.63705133360428,0.0,0.0,0.0,0.0,66.45437488517446,0.0,-0.03765439095952261,0.0,0.473344335546942,-1.4454356989251933,8.580240023736422,2.5402286975523802,0.7131216406315612,-3.694886159423722,0.3684210526315789,26,0,3,0,1,1,2,0,2,2,0,7,5,0,1,1,3,4.137400000000004,92.56180000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0,13.044693618876614,-0.4073392903993549,13.044693618876614,0.04800285672351201,0.6735760490733903,395.43400000000014,373.2580000000002,395.16451978399994,150,0,0.32837629035386284,-0.306647700781896,0.32837629035386284,0.306647700781896,1.0,1.6896551724137931,2.413793103448276,19.14214522719148,9.886776914015147,2.254479377739542,-2.3082628304512354,2.2157887343579814,-2.418591677925905,5.9740149515108065,0.08367821488112823,1.3759557752840657,1142.4164996007075,20.38010440969447,15.935929645226654,15.935929645226654,14.024877143252588,9.7673685215258,9.7673685215258,7.419585149131591,7.419585149131591,5.616321486987082,5.616321486987082,3.9120501077570125,3.9120501077570125,-3.0599999999999996,4734336.604814778,19.264858189070733,8.126207150619834,4.048073139800842,166.14307044068912,9.883888251797686,5.817220841045895,5.783244946364939,0.0,5.559266895052007,5.689743398203474,14.156174015934997,9.184952231746642,0.0,0.0,12.13273413692322,62.32935846844683,24.570870349683542,10.902924932081056,9.184952231746642,16.686169878445998,0.0,14.450987899589041,5.917906046161393,19.386399651764595,19.634269217737724,80.74969354183492,0.0,0.0,11.24901029325548,4.39041504767482,0.0,0.0,39.86850206369171,6.544756405912575,11.735126887207288,23.19963192162084,58.120010915836524,0.0,10.902924932081056,0.0,75.17,5.689743398203474,18.774026599890284,0.0,23.07763872862423,42.39753248145523,13.08951281182515,28.832567921637796,24.26546827384644,0.0,9.883888251797686,0.0,14.278909785601176,0.0,42.353451271850965,0.4960210392641158,0.38774710287931513,-0.3836684531478076,12.642926595370405,1.4150516537601676,2.309561004421664,0.0,0.3181818181818182,29,1,6,0,1,1,2,1,3,5,1,7,5,0,1,1,4,2.423800000000001,108.72320000000005,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc2c3c(c1OCc1ccccc1)-c1cc4c(cc1CC3N(C)CC2)OCO4,0,6.480325018896448,0.27295661528272674,6.480325018896448,0.27295661528272674,0.6147759744670629,415.4890000000003,390.28900000000016,415.17835828,158,0,0.23080093230504176,-0.4928337287961215,0.4928337287961215,0.23080093230504176,1.032258064516129,1.8387096774193548,2.6451612903225805,16.69684468580687,9.761600943965481,2.371585410265229,-2.4031575722638756,2.541361579957419,-2.353543234631484,5.8479111367104695,0.17361064617093214,1.5563426895449417,1158.0588261085513,20.949018510446816,17.811893085994782,17.811893085994782,15.224677988261849,10.76272853337032,10.76272853337032,8.443169907093456,8.443169907093456,6.697527372107149,6.697527372107149,5.112033676420479,5.112033676420479,-3.1799999999999993,30015016.120071363,18.577938430996394,7.203835762981982,2.95139216557589,181.66164957444116,18.947451815200196,6.606881964512918,22.99804733313562,6.792942306099827,0.0,0.0,4.899909730850478,0.0,0.0,0.0,30.33183534230805,65.90567389239902,18.150048726757532,7.109797541277533,18.947451815200196,0.0,0.0,4.899909730850478,0.0,25.4903660395129,27.495168235967128,70.78474251448087,0.0,34.12495031652961,18.947451815200196,0.0,22.99804733313562,0.0,32.3950779668176,19.448525210364938,0.0,28.295646795935944,48.53093654769288,0.0,11.126902983393991,0.0,40.160000000000004,0.0,0.0,0.0,6.792942306099827,12.648722793660879,59.07480145999119,16.690354475090988,7.109797541277533,18.19910120538483,42.279417055835715,18.947451815200196,23.715715576679163,0.0,2.4511989795918367,0.0,7.4109474993701205,3.2279617591603524,17.009568617102783,1.9558245709517355,1.7945270972531908,3.9342558998908204,0.3076923076923077,31,0,5,1,2,3,3,0,3,5,0,5,4,0,0,0,6,4.755000000000004,118.10600000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,0,12.483639986160071,-0.34254997613651095,12.483639986160071,0.34254997613651095,0.4257032574506244,518.8430000000003,493.64300000000037,517.08801482,168,0,0.3231788154214423,-0.49154684710508706,0.49154684710508706,0.3231788154214423,1.125,1.8125,2.5,79.91873132758926,10.100141260767282,2.1708104843863776,-2.1765295665019733,2.364437937637133,-2.2476912640540054,9.103561896527902,0.2380837366093421,1.5084669905060284,1060.9908419469505,22.50142475325411,17.775509154082346,20.1174346392155,15.491203638441375,10.50066669046883,11.671629433035408,7.658885781755836,8.94965846140234,5.352519668514849,6.184816627691793,3.7499635141115957,4.4377230800868634,-2.5499999999999994,24369282.513427623,22.637081702085222,10.377654151553767,5.621143476215112,200.37196994972265,15.370440161812711,12.356393797796823,0.0,0.0,0.0,6.031114512338072,9.581712665995664,4.794537184071822,5.098681808301038,0.0,11.600939890232516,84.3256694348578,35.55328574339521,16.36349108229395,9.53140013787187,44.93677084988706,0.0,14.680394474296701,7.04767198267719,12.841643245852019,36.87472839026331,58.15676588041808,0.0,17.00689131982936,15.370440161812711,16.169309733438947,5.749511833283905,27.530883788181864,46.952660168885416,7.04767198267719,0.0,12.841643245852019,53.134132566676755,5.022633313741326,11.257379486545457,0.0,71.42,0.0,4.794537184071822,0.0,6.031114512338072,23.00428782762137,41.1138800533995,12.841643245852019,35.1441147806047,25.24677318806202,36.56211264511353,16.337802844032566,8.791168371352041,9.481736435487138,14.897019411793961,10.624664476293123,3.028098996024867,0.7473669900058789,12.22018681022502,4.2579598451109995,3.769805783193133,1.876437324958283,0.30434782608695654,32,2,7,0,1,1,2,1,3,5,2,9,7,0,1,1,4,5.621600000000005,131.60639999999998,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0,12.899289572310405,-3.521439082577474,12.899289572310405,0.31881443163685286,0.7610238282286208,314.41,296.266,314.108898816,114,0,0.20820884211001583,-0.3598784290052376,0.3598784290052376,0.20820884211001583,1.0454545454545454,1.8181818181818181,2.5454545454545454,32.227916622586626,10.076517294693591,2.2234006918010767,-2.0718304112188686,2.303792199150659,-2.105574528760155,7.913550897910669,0.5966184674644064,2.19313008600704,883.4227544824406,15.579139501373252,12.335110856471319,13.151607437399045,10.642195083623216,7.180739212552622,8.663902460147014,5.162665578061632,7.080770079866664,3.7432768711108784,5.5370500725820095,2.633413425024036,4.126643009183374,-2.1099999999999994,158402.72532314842,14.811777373933083,5.944886953142569,2.532622313666818,129.64940918689499,10.30076712495354,0.0,0.0,9.837253136417502,0.0,0.0,0.0,8.417796984328938,0.0,0.0,30.33183534230805,43.775802708597595,17.099768503694133,9.79096695103555,8.417796984328938,20.740178068498558,0.0,10.30076712495354,0.0,16.21178857396156,13.592428388589765,60.29123161100295,0.0,0.0,5.316788604006331,0.0,0.0,0.0,26.99420389386591,16.25807475934351,0.0,5.563451491696996,64.5187470703415,0.0,10.902924932081056,0.0,61.96,9.837253136417502,8.417796984328938,0.0,0.0,9.79096695103555,29.431954452616637,0.0,30.462311845459514,31.313140256523628,10.30076712495354,0.0,25.79857914462081,0.0,3.747697651591502,3.896458777764243,1.8802919501133788,0.0,14.386036498123888,2.373886211892164,0.8007122385991433,-1.63366247270513,0.17647058823529413,22,2,4,0,0,0,2,1,3,3,2,5,5,0,0,0,3,2.762600000000001,87.82320000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CCNCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0,12.95546241181658,-3.5270010681741817,12.95546241181658,0.3216539378096923,0.6833777954165277,328.437,308.27700000000004,328.12454888,120,0,0.20820884211002777,-0.3598784290052283,0.3598784290052283,0.20820884211002777,1.0434782608695652,1.826086956521739,2.5652173913043477,32.22791670046436,10.07555983494142,2.2237501139673532,-2.07765242982647,2.3039835075770734,-2.1586552283419183,7.913551817598379,0.5965937121397799,2.113875760227764,899.1761024051959,16.286246282559798,13.042217637657867,13.858714218585593,11.142195083623218,7.741399384332444,9.224562631926837,5.412665578061631,7.330770079866664,3.920053566407516,5.713826767878647,2.7735784679689903,4.266808052128328,-2.1099999999999994,257908.41711349544,15.773076907221103,6.561013811759645,3.0228691531726626,136.01435130129155,10.30076712495354,0.0,0.0,9.837253136417502,0.0,0.0,0.0,8.417796984328938,0.0,0.0,37.255572541998674,43.27288713183298,17.099768503694133,9.79096695103555,8.417796984328938,20.740178068498558,0.0,10.30076712495354,0.0,23.135525773652184,13.08951281182515,60.29123161100295,0.0,0.0,5.316788604006331,0.0,0.0,0.0,26.491288317101297,16.25807475934351,0.0,12.487188691387619,64.5187470703415,0.0,10.902924932081056,0.0,61.96,9.837253136417502,8.417796984328938,0.0,0.0,9.79096695103555,35.97671085852921,0.0,30.462311845459514,24.26546827384644,17.224504324644162,0.0,25.91092482363316,0.0,3.7695182455698335,4.084100501120252,1.8960284391534392,0.0,14.439678653677573,2.3929487118921644,3.7838016931277663,-3.5270010681741817,0.2222222222222222,23,2,4,0,0,0,2,1,3,3,2,5,6,0,0,0,3,3.152700000000001,92.44020000000005,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CCCNCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0,13.001784725866166,-3.5316615620013425,13.001784725866166,0.32389911687305317,0.6456531740256528,342.46400000000006,320.2880000000001,342.140198944,126,0,0.20820884211002777,-0.3598784290052283,0.3598784290052283,0.20820884211002777,1.0,1.7916666666666667,2.5416666666666665,32.2279167783087,10.074950193245694,2.2239475454411695,-2.0814953756332226,2.304118952312437,-2.1752108884855863,7.9135527169394955,0.5965770876168605,2.029757811030636,914.9496006947122,16.993353063746348,13.749324418844415,14.565820999772141,11.642195083623218,8.241399384332443,9.724562631926839,5.809112187468358,7.72721668927339,4.096830261704153,5.890603463175284,2.89857846796899,4.391808052128327,-2.1099999999999994,422596.1046295847,16.73749044253863,7.195564467897763,3.228034989392006,142.37929341568818,10.30076712495354,0.0,0.0,9.837253136417502,0.0,0.0,0.0,8.417796984328938,0.0,0.0,37.255572541998674,49.693708754758994,17.099768503694133,9.79096695103555,8.417796984328938,20.740178068498558,0.0,10.30076712495354,0.0,29.556347396578193,13.08951281182515,60.29123161100295,0.0,0.0,5.316788604006331,0.0,0.0,0.0,26.491288317101297,16.25807475934351,0.0,18.90801031431363,64.5187470703415,0.0,10.902924932081056,0.0,61.96,9.837253136417502,8.417796984328938,0.0,0.0,9.79096695103555,42.39753248145522,0.0,30.462311845459514,24.26546827384644,17.224504324644162,0.0,26.003569451732332,0.0,3.7866335378019187,4.175901804975128,1.906811880616444,0.0,14.482035561952417,3.4905417805216614,3.936167544401446,-3.5316615620013425,0.2631578947368421,24,2,4,0,0,0,2,1,3,3,2,5,7,0,0,0,3,3.5428000000000024,97.05720000000005,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
CC(C)NCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0,13.007520024985304,-3.537771387104223,13.007520024985304,0.3203782176450831,0.7201106439658,342.46400000000006,320.2880000000001,342.140198944,126,0,0.20820884211003762,-0.3598784290052207,0.3598784290052207,0.20820884211003762,1.0416666666666667,1.7916666666666667,2.5,32.22791677873394,10.072997675991187,2.2244759759248125,-2.100550676503646,2.3043235930402766,-2.2454732392375316,7.913552803062775,0.5898880951276813,2.0614194384826807,928.4150088353998,17.156489770562878,13.912461125660945,14.728957706588671,11.498037131279784,8.124114885526685,9.60727813312108,6.167936871079541,8.086041372884575,4.045862728872149,5.83963593034328,2.869257343267551,4.362486927426888,-2.1099999999999994,355330.51425658906,16.73749044253863,6.789004043416639,3.228034989392006,142.37929341568818,10.30076712495354,0.0,0.0,9.837253136417502,0.0,0.0,0.0,8.417796984328938,0.0,0.0,44.179309741689295,36.72813072592041,23.141609332842094,9.79096695103555,8.417796984328938,20.740178068498558,0.0,10.30076712495354,0.0,36.10110380249077,6.544756405912575,60.29123161100295,0.0,0.0,5.316788604006331,0.0,0.0,0.0,25.988372740336683,16.25807475934351,0.0,19.410925891078243,64.5187470703415,0.0,10.902924932081056,0.0,61.96,9.837253136417502,8.417796984328938,0.0,0.0,15.832807780183511,29.431954452616637,0.0,30.462311845459514,24.26546827384644,24.148241524334786,0.0,26.015040049970608,0.0,3.7752125587889482,4.179149631883669,1.8916288737717308,0.0,14.863068273025208,2.3859695452254974,5.011035787771899,-3.537771387104223,0.2631578947368421,24,2,4,0,0,0,2,1,3,3,2,5,6,0,0,0,3,3.5412000000000017,97.03520000000005,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCNC3CCCC3)c12,0,13.108429115894392,-3.537092374758544,13.108429115894392,0.33313303858172216,0.689196682702373,368.50200000000024,344.3100000000001,368.155849008,136,0,0.20820884211003765,-0.3598784290052207,0.3598784290052207,0.20820884211003765,1.0,1.7692307692307692,2.5384615384615383,32.227916942605255,10.069951931576503,2.2282682043083923,-2.124018490153679,2.3064124325668804,-2.275586166836681,7.913555067457256,0.527950360151303,1.6578577817535327,987.2828012974327,17.984916895309066,14.740888250407137,15.557384831334863,12.65983317382826,9.285910928075163,10.769074175669553,6.99461680813514,8.912721309940169,5.2814612885256365,7.075234489996766,3.914642480855566,5.407872065014902,-2.1099999999999994,1702778.7850520457,17.311158415599223,7.252060683583746,3.289321125922612,154.10334649095216,10.30076712495354,0.0,0.0,9.837253136417502,0.0,0.0,0.0,8.417796984328938,0.0,0.0,43.173478588160066,49.569773971772435,23.141609332842094,9.79096695103555,8.417796984328938,20.740178068498558,0.0,10.30076712495354,0.0,47.936915894813566,6.544756405912575,60.29123161100295,0.0,0.0,5.316788604006331,0.0,0.0,0.0,25.988372740336683,16.25807475934351,0.0,31.246737983401033,64.5187470703415,0.0,10.902924932081056,0.0,61.96,9.837253136417502,8.417796984328938,0.0,0.0,15.832807780183511,29.43195445261664,25.683286491704038,30.462311845459517,24.26546827384644,10.30076712495354,0.0,26.216858231788784,0.0,3.840053285075382,4.440877239593419,1.945949598975393,0.0,15.229540980782048,7.572360059203632,0.8747863126732174,-3.537092374758544,0.3333333333333333,26,2,4,1,0,1,2,1,3,3,2,5,6,1,0,1,4,4.075400000000003,104.15520000000006,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CN(C)CCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0,12.968830467372134,-3.528162084278154,12.968830467372134,0.3225117052994042,0.7828344252303809,328.437,308.27700000000004,328.12454888,120,0,0.20820884211491225,-0.3598784290014174,0.3598784290014174,0.20820884211491225,1.0,1.7391304347826086,2.4347826086956523,32.227916701722,10.073510703342361,2.224755232508824,-2.1110806628696834,2.3051972786587966,-2.1492822427371925,7.913551826457802,0.41393008141790083,2.151538625377562,912.6043983961822,16.44938298937633,13.282324451971277,14.098821032899004,10.998037131279785,7.537840778976102,9.021004026570495,5.862388112751971,7.780492614557003,3.9272938654858263,5.721067066956958,2.7178028609995963,4.211032445158932,-2.1099999999999994,219455.69352233066,15.773076907221103,6.179531655231926,3.0228691531726626,136.2243227878869,9.883888251797686,0.0,0.0,9.837253136417502,0.0,0.0,0.0,8.417796984328938,0.0,0.0,30.33183534230805,44.27871828536221,23.64452490960671,9.79096695103555,8.417796984328938,20.740178068498558,0.0,9.883888251797686,0.0,16.21178857396156,20.640100371266954,60.29123161100295,0.0,0.0,0.0,0.0,0.0,0.0,38.941785607393584,16.25807475934351,0.0,5.563451491696996,64.5187470703415,0.0,10.902924932081056,0.0,53.17,9.837253136417502,8.417796984328938,0.0,0.0,9.79096695103555,29.431954452616637,0.0,30.462311845459514,38.36081223920082,9.883888251797686,0.0,25.93766093474427,0.0,5.8706015106659954,0.8038917233560092,1.9052947845804988,0.0,14.456607379062735,2.4083958490803727,0.8701566830435877,0.4973911354665339,0.2222222222222222,23,1,4,0,0,0,2,1,3,3,1,5,5,0,0,0,3,3.104800000000001,92.45050000000006,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
